state,model,rmse,mae,mape,smape
South Dakota,xgboost,224958.01082092483,122377.6504815413,0.4334477078260323,0.4362484391382262
South Dakota,lstm,3851144.158122462,3609404.2322632424,12.849454365741245,13.871776944539231
Tennessee,sarima,6656857.748792482,5519470.55692036,2.213987093705523,2.1849427130236223
Tennessee,ets,3696236.2107113525,1920102.554568145,0.7575622410030747,0.7626635406228649
Tennessee,xgboost,3804339.963699828,1259623.5795144434,0.4878963155657957,0.4980595393792047
Tennessee,lstm,22336710.094956815,20513202.184089087,8.199948835178393,8.619414156071011
Texas,sarima,22356210.115833208,17407356.61260345,2.0175519759216365,2.0002859299452957
Texas,ets,16561682.814452626,8789213.008316679,1.002283192621077,1.0098817608104151
Texas,xgboost,16334249.731357958,4472855.18481139,0.49400072215974355,0.5082832009970596
Texas,lstm,126695377.90390708,115008150.3284309,13.421600575900836,12.411473529351131
Utah,sarima,1602224.0457975147,1246062.7612433753,1.5308138768360198,1.5207133701830802
Utah,ets,1199332.1492848229,680054.4949800505,0.826398230043662,0.8301962001554658
Utah,xgboost,1258780.7931085608,395924.74243579485,0.47023432135106036,0.48054146468025133
Utah,lstm,2135808.9027064717,1886922.9625401369,2.3226921076271307,2.2955718641461678
Vermont,sarima,152529.78718101096,120848.58873089643,0.6766287766707043,0.6745627675979902
Vermont,ets,218083.79338398098,188398.7535939079,1.0560850587599095,1.0495938187890885
Vermont,xgboost,107188.93309482111,43619.75365168574,0.2416653257159442,0.24322787197310786
Vermont,lstm,347177.02096433996,301857.21484751254,1.6887128729276624,1.707683620274824
Virginia,sarima,8632308.561442455,7113718.845278917,2.574175298821417,2.536560650288775
Virginia,ets,5137152.03442009,2767878.3062966904,0.9833795954187544,0.990314349570775
Virginia,xgboost,5400668.383486351,2123324.4455457404,0.7390528976174524,0.7554608884603086
Virginia,lstm,4859600.074737968,1625230.0565409374,0.5639934204446554,0.5764033177071237
Washington,sarima,3852162.2667714655,3213601.0240143654,1.7743626678620208,1.7547084504617136
Washington,ets,1907370.0417599503,397962.91937497415,0.21122523889635375,0.2162137937241004
Washington,xgboost,1960233.7873583434,766051.1334871586,0.41432773401625517,0.41947896289760495
Washington,lstm,27396836.346066434,25087375.842395663,13.840268264016341,12.786629496292386
West Virginia,sarima,2601286.0642284662,2199593.6397944386,3.016971669688198,2.9554302427980503
West Virginia,ets,933940.8570831323,525569.9410467603,0.7108917906147081,0.7140481686189433
West Virginia,xgboost,1075742.826251655,581755.8010834588,0.7807246115376165,0.7908429966102963
West Virginia,lstm,4240463.402695955,3796412.3132022386,5.172459245567783,5.3452178457728765
Wisconsin,sarima,3108894.84600961,2585827.436138887,1.699693226371885,1.681561200675959
Wisconsin,ets,1968061.1749930265,1498489.2620167567,0.9801564670803229,0.9777533529171064
Wisconsin,xgboost,1568734.3261350812,580834.2428571396,0.37383683033227866,0.3780847057190431
Wisconsin,lstm,13000557.922465174,12046754.764285723,7.893908845803899,8.275809032456715
Wyoming,sarima,277695.10869760654,220726.60076221224,1.0643503651954433,1.0592757628226828
Wyoming,ets,190511.48433041532,42242.17587615935,0.19728027042266172,0.2010846598134395
Wyoming,xgboost,195948.65358089007,64201.58065810567,0.302988729879454,0.30686176912929364
Wyoming,lstm,401602.3237921965,328199.7972712684,1.5779521569536208,1.596407426849721
